CD_REFNIS,TX_DESCR_NL,MS_POPULATION
53068,Quiévrain,6852
53070,Saint-Ghislain,23665
53082,Colfontaine,20659
53083,Honnelles,5148
53084,Quévy,8105
55004,s Gravenbrakel,23133
55035,Le Roeulx,8812
55040,Zinnik,28741
55050,Ecaussinnes,11484
55085,Seneffe,11520
55086,Manage,23928
56001,Anderlues,12601
56005,Beaumont,7166
56016,Chimay,9716
56022,Erquelinnes,10043
56029,Froidchapelle,4053
56044,Lobbes,5919
56049,Merbes-le-Château,4224
56051,Momignies,5296
56078,Thuin,14922
56086,Ham-sur-Heure-Nalinnes,13811
56088,Sivry-Rance,4858
57003,Antoing,7639
57018,Celles (Doornik),5684
57027,Estaimpuis,10622
57062,Pecq,5901
57064,Péruwelz,17235
57072,Rumes,5298
57081,Doornik,68710
57093,Brunehaut,8152
57094,Leuze-en-Hainaut,14097
57095,Mont-de-lEnclus,3804
57096,Moeskroen,59563
57097,Komen-Waasten,18336
58001,La Louvière,81382
58002,Binche,33649
58003,Estinnes,7951
58004,Morlanwelz,19231
61003,Amay,14514
61010,Burdinne,3299
61012,Clavier,4846
61019,Ferrières,5116
61024,Hamoir,3806
61028,Héron,5585
61031,Hoei,21680
61039,Marchin,5548
61041,Modave,4219
61043,Nandrin,5796
61048,Ouffet,2828
61063,Verlaine,4312
61068,Villers-Le-Bouillet,6764
61072,Wanze,14079
61079,Anthisnes,4254
61080,Engis,6310
61081,Tinlot,2746
62003,Ans,28764
62006,Awans,9231
62009,Aywaille,12783
62011,Bitsingen,9052
62015,Beyne-Heusay,11996
62022,Chaudfontaine,20572
62026,Comblain-au-Pont,5334
62027,Dalhem,7666
62032,Esneux,12800
62038,Fléron,16296
62051,Herstal,40666
62060,Juprelle,9740
62063,Luik,195346
62079,Oupeye,25690
62093,Saint-Nicolas (Luik),24352
62096,Seraing,64035
62099,Soumagne,17322
62100,Sprimont,15159
62108,Wezet,18060
62118,Grâce-Hollogne,23050
62119,Blegny,13440
62120,Flémalle,26850
62121,Neupré,9994
62122,Trooz,7871
63001,Amel,5599
63003,Aubel,4200
63004,Baelen,4518
63012,Büllingen,5510
63013,Bütgenbach,5723
63020,Dison,15249
63023,Eupen,20082
63035,Herve,17842
63038,Jalhay,8759
63040,Kelmis,11333
63045,Lierneux,3637
63046,Limburg,5648
63048,Lontzen,6008
63049,Malmedy,12894
63057,Olne,4082
63058,Pepinster,9280
63061,Raeren,11119
63067,Sankt Vith,10035
63072,Spa,9890
63073,Stavelot,7247
63075,Stoumont,3190
63076,Theux,11972
63079,Verviers,55156
63080,Weismes,7542
63084,Welkenraedt,10515
63086,Trois-Ponts,2517
63087,Burg-Reuland,3974
63088,Plombières,10745
63089,Thimister-Clermont,5652
64008,Berloz,3336
64015,Braives,6484
64021,Crisnée,3540
64023,Donceel,3144
64025,Fexhe-le-Haut-Clocher,3429
64029,Geer,3559
64034,Hannuit,17026
64047,Lijsem,3351
64056,Oerle,4025
64063,Remicourt,6062
64065,Saint-Georges-sur-Meuse,7195
64074,Borgworm,15455
64075,Wasseiges,3144
64076,Faimes,4079
71002,As,8214
71004,Beringen,47895
71011,Diepenbeek,19423
71016,Genk,67573
71017,Gingelom,8670
71020,Halen,9557
71022,Hasselt,80351
71024,Herk-de-Stad,12817
71034,Leopoldsburg,16407
71037,Lummen,15366
71045,Nieuwerkerken (Hasselt),7190
71053,Sint-Truiden,41353
71057,Tessenderlo,18838
71066,Zonhoven,21653
71067,Zutendaal,7345
71069,Ham,11337
71070,Heusden-Zolder,34623
72003,Bocholt,13743
72004,Bree,16695
72018,Kinrooi,12330
72020,Lommel,34826
72021,Maaseik,25737
72030,Peer,16534
72037,Hamont-Achel,14458
72038,Hechtel-Eksel,12914
72039,Houthalen-Helchteren,30960
72041,Dilsen-Stokkem,21305
72042,Oudsbergen,23791
72043,Pelt,34100
73001,Alken,11839
73006,Bilzen,32644
73009,Borgloon,11455
73022,Heers,7554
73028,Herstappe,77
73032,Hoeselt,9921
73040,Kortessem,8726
73042,Lanaken,26270
73066,Riemst,16850
73083,Tongeren,31915
73098,Wellen,7473
73107,Maasmechelen,39914
73109,Voeren,4387
81001,Aarlen,31222
81003,Attert,5730
81004,Aubange,17652
81013,Martelange,2003
81015,Messancy,8462
82003,Bastenaken,16785
82005,Bertogne,3739
82009,Fauvillers,2435
82014,Houffalize,5292
82032,Vielsalm,7942
82036,Vaux-sur-Sûre,6143
82037,Gouvy,5483
82038,Sainte-Ode,2666
83012,Durbuy,11507
83013,Erezée,3334
83028,Hotton,5722
83031,La Roche-en-Ardenne,4161
