Netwerk,Ziekenhuis ,Campus,Latitude,Longitude
?,Clinique Notre-Dame de Grace ,,50.47445386022319,4.427751965247402
?,CHU Charleroi,Marie Curie,50.43086433412902,4.439542637536631
?,CHU Charleroi,Vincent van Gogh,50.40493187055441,4.399925107574882
?,CHU Charleroi,Chu Andre Vesale,50.359992193628294,4.36834809439907
Réseau Hospitalier de Charleroi Métropole,Grand hopital de Charleroi,Notre-Dame,50.418042559020456,4.454208070787834
Réseau Hospitalier de Charleroi Métropole,Grand hopital de Charleroi,Saint-Joseph,50.41776954322052,4.480596999464394
Réseau Hospitalier de Charleroi Métropole,Grand hopital de Charleroi,IMTR,50.35901141131425,4.522336499621577
Réseau Hospitalier de Charleroi Métropole,Grand hopital de Charleroi,Saint-Thérèse,50.40900195528534,4.482034289823487
Réseau Hospitalier de Charleroi Métropole,Grand hopital de Charleroi,Leonard De Vinci,50.362120812785925,4.36781165263259
?,Centre de Sante des Fagnes,,50.0458542262803,4.31420088242474
?,Centre Hospitalier de Mouscron,,50.749030681308916,3.220434651760623
?,Clinique Saint Pierre,,50.667895277756564,4.560505083003972
Réseau Hospitalier Namurois,CHR Sambre et Meuse,Sambre,50.43532288418195,4.628055687976891
Réseau Hospitalier Namurois,CHR Sambre et Meuse,L'acacia Fosses-La-Ville,50.39966060705985,4.702300833999919
Réseau Hospitalier Namurois,CHR Sambre et Meuse,Meuse,50.46755167086391,4.8878282254867464
Réseau Hospitalier Namurois,CHU UCL Namur,Saint François Namur,50.456924330453894,4.8398579186600665
Réseau Hospitalier Namurois,CHU UCL Namur,Ste. Elisabeth Namur,50.46028222402457,4.844021110145268
Réseau Hospitalier Namurois,CHU UCL Namur,Godinne,50.35797653354773,4.882914364840198
Réseau Hospitalier Namurois,CHU UCL Namur,Hopital Dinant - STE. Anne,50.26363014621168,4.92502515487962
Réseau Hospitalier Namurois,CHU UCL Namur,Hopital Dinant - Saint Vincent,50.265073335878036,4.943848051747829
?,Clinique Saint Luc Bouge,,50.477326873085616,4.8811034517534315
?,Centre hospitalier Bois de L'Abbaye,Waremme,50.69235849005721,5.249957787983681
?,Centre hospitalier Bois de L'Abbaye,CHBA Seraing,50.58098798386207,5.494479330310069
?,Groupe Sante CHC,Waremme,50.69147546701658,5.2444511131243745
?,Groupe Sante CHC,MontLégia,50.64665815258212,5.535080307018415
?,Groupe Sante CHC,Hermalle,50.731554656914504,5.688420181158347
?,Groupe Sante CHC,Heusy,50.57762687695062,5.8638029689447135
?,Centre hospitalier regional de Huy,,50.51420929467006,5.240254823966999
Réseau Liégeois,Hopital de la Citadele,Citadelle,50.65193878572294,5.57771234799986
Réseau Liégeois,Hopital de la Citadele,Herstal,50.67218367739389,5.638553643806473
Réseau Liégeois,Hopital de la Citadele,Laveu,50.630338890803515,5.555928218012314
?,Clinique Andre renard,,50.67526841440477,5.633424363942655
Réseau Liégeois,IsoSL,Peri,50.64894615373484,5.569333812352979
Réseau Liégeois,IsoSL,Valdor,50.63408295886339,5.589799046726611
?,Centre hospitalier specialise L'accueil,,50.28466183308143,5.788667407571704
